groupe,Linie,groupe,Median_10_100_l,Mean_10_100_l,Skewness_10_100_l,Kurtosis_10_100_l,Median_10_100_r,Mean_10_100_r,Skewness_10_100_r,Kurtosis_10_100_r,Median_30_300_l,Mean_30_300_l,Skewness_30_300_l,Kurtosis_30_300_l,Median_30_300_r,Mean_30_300_r,Skewness_30_300_r,Kurtosis_30_300_r,Median_300_1000_l,Mean_300_1000_l,Skewness_300_1000_l,Kurtosis_300_1000_l,Median_300_1000_r,Mean_300_1000_r,Skewness_300_1000_r,Kurtosis_300_1000_r,km_debut,km_fin,rayon,length,max_l,max_r,cause_max_r,cause_max_l,max,reserve_usure_l,reserve_usure_r,reserve_usure_min
2,Palezieux - Chatel-St-Denis,2,0.084259,0.0863296511632653,0.4103663817110859,0.12941467046383215,0.049340000999999994,0.05048070871428572,0.18447989351378907,-0.2908546667839129,0.11029900000000001,0.1097568459424861,0.011255493175583556,0.5928356404601693,0.070637,0.07147660298330241,0.0014341953688752575,0.36505720444699197,0.020501001,0.022876703142857144,1.526648969554551,1.848226316332127,0.023987001,0.02826773655844156,1.8390649760214757,2.9386780966469797,96421.06,96555.81,130.0,134.75,0.11029900000000001,0.070637,Median_30_300_r,Median_30_300_l,0.11029900000000001,-0.030299000000000006,0.009362999999999996,-0.030299000000000006
7,Palezieux - Chatel-St-Denis,7,0.0440985005,0.049156851578125,1.0734416523227361,1.0636867419426155,0.028196999,0.03783069763565891,3.6837164120715307,14.183762184967463,0.054503000499999996,0.055947290322580646,0.5438388929445569,0.41672479316386335,0.042776999999999996,0.06908773710169491,3.444498044842472,10.963561328121358,0.0573245,0.05753237719298245,0.26668772065066304,-0.6253827302433219,0.06365699999999999,0.06329387742222223,1.4648849507806418,4.312121175344148,90206.884,90308.134,0.0,101.25,0.0573245,0.06365699999999999,Median_300_1000_r,Median_300_1000_l,0.06365699999999999,0.0226755,0.01634300000000001,0.01634300000000001
8,Palezieux - Chatel-St-Denis,8,0.055135,0.05438392163478261,0.37183157671063677,-0.49005113745623374,0.027496001,0.02826126967826087,0.6155199215416322,-0.0891842748981233,0.052771,0.055790513060869566,0.8085818507267215,0.42424096043014803,0.031538000000000004,0.031786791460869566,0.42325955580144714,-0.05782220615062661,0.025996,0.036162086921739126,1.550860032043036,1.4286385198238882,0.022823,0.02632915667826087,2.080430998584697,3.296697768998399,90240.384,90269.134,150.0,28.75,0.055135,0.031538000000000004,Median_30_300_r,Median_10_100_l,0.055135,0.024864999999999998,0.048462,0.024864999999999998
9,Palezieux - Chatel-St-Denis,9,0.0469805,0.058987502502463054,12.869713922684625,196.3876372487153,0.0265555005,0.030503846368292682,1.4916671363170946,2.837741699513856,0.048692501,0.06785007217412935,7.919004004854087,67.58939111025698,0.0336455,0.036692581722772274,2.5864301452479177,12.267505846361711,0.0343515,0.056595213829896907,2.998806376741178,9.958940441714331,0.0397335,0.045330917971794865,0.7622187819033305,-0.5760021686498544,90269.134,90371.941,0.0,102.8070000000007,0.048692501,0.0397335,Median_300_1000_r,Median_30_300_l,0.048692501,0.031307499,0.040266500000000004,0.031307499
10,Palezieux - Chatel-St-Denis,10,0.0551075005,0.058633011956,0.8838618237706699,0.7641524766417724,0.032313999999999996,0.035915203996000004,1.206574353673971,1.2609378113209253,0.054049,0.05769611198,0.8356461098119347,0.21760908943084134,0.037782000499999996,0.039281720004,1.7829810937267765,5.539966765650645,0.0341005,0.036721951964,0.6790819009974502,0.2237580313267724,0.019804500000000003,0.023293960012,2.357650875173645,5.684606280396414,90371.941,90434.441,398.0,62.5,0.0551075005,0.037782000499999996,Median_30_300_r,Median_10_100_l,0.0551075005,0.024892499499999998,0.042217999500000006,0.024892499499999998
11,Palezieux - Chatel-St-Denis,11,0.047963001000000005,0.051944640196018375,1.2459567891226861,2.176614800856721,0.023531999999999997,0.026360705946401226,1.9921301599198216,5.144161219358903,0.049196,0.052320113382848386,0.975453293384723,0.8758876497362365,0.030684001000000002,0.03274310104287902,1.090506353997439,1.1834857766793059,0.022799,0.025115601875957124,1.7837784222912925,3.8342781049148575,0.024688,0.027341208241960183,1.8936748138025001,5.138900035282008,90434.441,90597.691,0.0,163.25,0.049196,0.030684001000000002,Median_30_300_r,Median_30_300_l,0.049196,0.030804000000000005,0.049315999,0.030804000000000005
12,Palezieux - Chatel-St-Denis,12,0.049437,0.05255640821348315,0.8152293773723728,0.3711062014960591,0.026688,0.02756533341198502,1.0157403260061533,1.2716189688459272,0.052114999999999995,0.05306504122097378,0.6006943544038401,-0.03140230516173137,0.03454,0.03572241955430712,0.7046404795939502,0.39955434348405117,0.022366,0.0223229888164794,1.5591582505948167,3.8817617220800216,0.032388,0.03313997748314607,0.44620101536351126,-0.2915317579902714,90597.691,90664.441,325.0,66.75,0.052114999999999995,0.03454,Median_30_300_r,Median_30_300_l,0.052114999999999995,0.027885000000000007,0.04546,0.027885000000000007
13,Palezieux - Chatel-St-Denis,13,0.048406999500000006,0.050363686902912624,0.867975163836601,0.887131119315336,0.023815,0.028810827662621358,1.3241852512109122,1.4373429648341807,0.0485119995,0.05526492719417476,1.72496731142669,3.831218774401803,0.0291690005,0.03597146842718446,2.0433104932868744,5.03664619008681,0.024545,0.026457832504854367,0.8428217870944089,0.43291344036857415,0.022129000500000003,0.026857621351941748,2.504710947281379,7.246455073120334,90664.441,90767.441,0.0,103.0,0.0485119995,0.0291690005,Median_30_300_r,Median_30_300_l,0.0485119995,0.0314880005,0.0508309995,0.0314880005
14,Palezieux - Chatel-St-Denis,14,0.089554,0.09704677500882353,0.7595047329213933,0.3569120348779844,0.0553845,0.056616715542522,0.382441079655744,0.38153557228869506,0.144365,0.1498678891301775,0.4042975454783521,-0.09820067849655523,0.0982355,0.1034763549704142,0.3250690884879747,-0.17130216355612227,0.0307185,0.03250337310876133,0.7738584493536621,0.16574192067772575,0.0254075005,0.02717413443655589,2.880748999595821,10.517935059566042,90767.441,90937.941,100.0,170.5,0.144365,0.0982355,Median_30_300_r,Median_30_300_l,0.144365,-0.06436499999999999,-0.0182355,-0.06436499999999999
15,Palezieux - Chatel-St-Denis,15,0.045607,0.04830309095215311,0.7253653793336322,0.14102124214658884,0.023783000999999998,0.02695028233971292,0.8150806233718825,0.08870337823376673,0.044846999,0.04931011966985646,1.2812971752309925,1.7472529446893024,0.028096,0.03201951676555024,1.5848308027870524,2.9765805801685294,0.024596,0.027532382765550242,1.0070589430592631,0.3672270589975972,0.029051,0.03084883257416268,1.6984087930523826,3.290848425876991,90937.941,90990.191,0.0,52.25,0.045607,0.029051,Median_300_1000_r,Median_10_100_l,0.045607,0.034393,0.050949,0.034393
16,Palezieux - Chatel-St-Denis,16,0.0978430005,0.09946573704285713,0.2986862271779344,-0.3982521608836418,0.0536130005,0.05231545285571428,-0.08169527596818699,-0.641068904540695,0.145436,0.1461202826942857,0.15249420298988864,-0.7380142759368691,0.10602349999999999,0.10557215147285715,0.13857782998370466,-0.8493754880848363,0.0251550005,0.028931717138571428,1.129746668215234,0.7106192559072251,0.0294470005,0.03041612714142857,0.5785790117186081,-0.03432317260834861,90990.191,91165.191,150.0,175.0,0.145436,0.10602349999999999,Median_30_300_r,Median_30_300_l,0.145436,-0.06543600000000001,-0.02602349999999999,-0.06543600000000001
17,Palezieux - Chatel-St-Denis,17,0.0438944995,0.046579233727906975,0.9916766975602174,1.4439902610571034,0.0233539995,0.027112386186206896,2.896389337279298,12.753424832350298,0.0459565,0.04801139953191489,0.9161430040385019,1.3222887654241946,0.030262999999999998,0.03167510747976879,0.9482974796590461,0.7455553277297162,0.0244855005,0.026986271675480768,1.6978861690586515,2.9861551004609996,0.022813,0.026219322010575793,2.2997365963418903,5.568960667500665,91165.191,91382.941,0.0,217.75,0.0459565,0.030262999999999998,Median_30_300_r,Median_30_300_l,0.0459565,0.034043500000000004,0.049737,0.034043500000000004
18,Palezieux - Chatel-St-Denis,18,0.044304,0.04801774569686411,0.907374539393633,0.24490518970754138,0.029075999999999998,0.03309974917421603,1.4592364038293983,2.6102645472783657,0.052961999999999995,0.05465691989198606,0.5290647182883068,-0.2030368599825887,0.037870999,0.03906193036585366,0.27509337112934396,-0.5533349995850765,0.028192,0.02850905233101045,0.713188177207468,0.18070521461442945,0.023001,0.024128745710801393,1.0846914681959872,1.239162290421529,91382.941,91454.691,378.0,71.75,0.052961999999999995,0.037870999,Median_30_300_r,Median_30_300_l,0.052961999999999995,0.027038000000000006,0.042129001,0.027038000000000006
19,Palezieux - Chatel-St-Denis,19,0.049918,0.052395856938789086,0.8366816716065268,0.8601111381494424,0.0245874995,0.028635766611702126,1.8341971883471413,3.9814359672295696,0.049730000999999996,0.05328383057438292,0.8584883312687288,0.5725468064136989,0.033395,0.03462445629886591,0.7166789466790489,0.346530022200894,0.027246,0.03114394947138047,1.7951669174476625,4.460089663987201,0.026464,0.029816363664646465,1.672814002146331,4.743396984639337,91454.691,91830.941,0.0,376.25,0.049918,0.033395,Median_30_300_r,Median_10_100_l,0.049918,0.030082000000000005,0.046605,0.030082000000000005
20,Palezieux - Chatel-St-Denis,20,0.067878,0.07045230200784314,0.4044738817765452,-0.4869016573551974,0.022919000000000002,0.025262203925490195,1.776811451011019,5.2966262989779604,0.060114999,0.060846231364705884,0.3297062093510959,-0.519074195853384,0.029308001,0.030653372552941177,0.7150738107876032,0.6349328963604894,0.027665,0.02900375297647059,0.6389470963479614,-0.09192952911603358,0.025955999,0.024764360803921567,0.05191563626943217,-0.9823388815943876,91830.941,91894.691,410.0,63.75,0.067878,0.029308001,Median_30_300_r,Median_10_100_l,0.067878,0.012122000000000008,0.050691999,0.012122000000000008
21,Palezieux - Chatel-St-Denis,21,0.045597,0.04934702452986218,0.965723811647559,0.9449289673855334,0.022666000000000002,0.02591872280704441,1.9057284469288656,6.190488768659064,0.046389998,0.04820407811026034,0.7055583402127636,0.5330356975654182,0.027020000000000002,0.02908592034762634,0.9365446425009787,0.5168914792565076,0.025839999,0.02959446250995406,2.2053987247104807,5.7503236439866665,0.021708,0.024218241960183767,1.3288629754417487,1.7951683475825133,91894.691,92057.941,0.0,163.25,0.046389998,0.027020000000000002,Median_30_300_r,Median_30_300_l,0.046389998,0.033610002,0.05298,0.033610002
22,Palezieux - Chatel-St-Denis,22,0.050047499999999995,0.053009961565934065,1.12051872672291,1.585996580369411,0.037138001000000004,0.039183417535714284,1.3476364816313755,2.8867055704504283,0.0582450005,0.06031339010164836,0.6772904528532141,0.2620285201586845,0.042572999,0.04268926090384616,0.18455604847586551,-0.516660451931608,0.0335935,0.03491282423076923,0.5990933711261467,0.02664176809786989,0.0211490005,0.025903412112637362,2.1925935349396903,4.952694873012502,92057.941,92148.941,290.0,91.0,0.0582450005,0.042572999,Median_30_300_r,Median_30_300_l,0.0582450005,0.021754999500000004,0.037427001,0.021754999500000004
23,Palezieux - Chatel-St-Denis,23,0.06559899999999999,0.06762555855518394,0.6229813785380851,0.19876197212386115,0.046144,0.047932762515050166,1.9772489361081713,8.184697381582604,0.10234499999999999,0.10441650503344481,0.6699338992537331,0.30193866950834547,0.076831001,0.07714051840133779,0.27059897062498245,-0.044498906702647556,0.027952,0.029251976595317725,1.5331501177734834,3.255704745175053,0.029829999,0.03458513378260869,1.1904497268611496,0.7722529892346186,92205.691,92280.441,169.0,74.75,0.10234499999999999,0.076831001,Median_30_300_r,Median_30_300_l,0.10234499999999999,-0.02234499999999999,0.0031689990000000057,-0.02234499999999999
24,Palezieux - Chatel-St-Denis,24,0.043975,0.04691928893355482,0.5643958966562711,-0.6243661620089145,0.022044,0.024597192684385382,1.8400275352501576,4.8765652015583,0.077626,0.07823123911627906,0.0662697591241177,0.11675832981719303,0.061696,0.06060439533554817,-0.3875599274999176,0.010848761436902166,0.02263,0.022710215936877075,0.05854910868052153,-0.5633538002746863,0.021914,0.024905983392026577,1.2619281363035266,0.8648781180093867,92280.441,92355.691,0.0,75.25,0.077626,0.061696,Median_30_300_r,Median_30_300_l,0.077626,0.002374000000000001,0.018304,0.002374000000000001
25,Palezieux - Chatel-St-Denis,25,0.0326679995,0.03672379474253731,0.9022793495260687,0.5329223832539123,0.040677999500000006,0.04201985443656716,1.0910171928978083,1.900793677986969,0.0598884995,0.0616376343097015,0.42124087190907983,-0.054052948388329636,0.0523135,0.05271962310447761,0.24182570800568107,0.0035537050610985332,0.021968,0.024957783615671643,1.1668472133487673,0.9711492859552844,0.028186001,0.03082672766044776,0.7212264877099807,-0.18878575680096565,92355.691,92422.691,288.0,67.0,0.0598884995,0.0523135,Median_30_300_r,Median_30_300_l,0.0598884995,0.020111500500000004,0.027686500000000003,0.020111500500000004
26,Palezieux - Chatel-St-Denis,26,0.04185799999999999,0.04474043540253165,0.8921366609295803,0.6441979456945504,0.0237,0.026495405043037976,1.3097691920465986,1.7192906586695544,0.050129999999999994,0.052063549308860764,0.9636692801571055,1.0081769910761738,0.035502999,0.036744969579746836,0.6363344632380369,0.12743498334282144,0.029949,0.03218675694683545,0.9708506749657656,0.5913074967549354,0.027112,0.02843455954177215,0.5672865381890645,-0.28049002802408207,92422.691,92521.441,0.0,98.75,0.050129999999999994,0.035502999,Median_30_300_r,Median_30_300_l,0.050129999999999994,0.029870000000000008,0.044497001,0.029870000000000008
27,Palezieux - Chatel-St-Denis,27,0.034908,0.03679032031601731,0.7296194438431578,0.006029395078356092,0.036008,0.037316857142857145,0.9141627309812497,1.1657222150276132,0.06099,0.06537219475757576,0.5188563738680796,-0.2868849545941412,0.052192999999999996,0.054148835497835494,0.43119430270052167,-0.09458763633363798,0.029918,0.028801077883116883,-0.2527404157518246,-0.5714360214029952,0.02689,0.028207515138528136,1.019441232029464,1.2455300511356109,92521.441,92579.191,192.0,57.75,0.06099,0.052192999999999996,Median_30_300_r,Median_30_300_l,0.06099,0.01901,0.027807000000000005,0.01901
28,Palezieux - Chatel-St-Denis,28,0.037143499999999996,0.038545517986,0.6868784025827236,0.5526357456189102,0.031327999999999995,0.032926038016,0.7440026479108462,0.5242019617022202,0.0604065005,0.063014118006,0.6765176760265271,0.8102600731171798,0.051009,0.053037547973999996,0.8389871194097055,0.8596171746912509,0.0296369995,0.02987371199,-0.3176980852846147,0.16044866876707298,0.0242995005,0.02561176398,1.6220533334140421,4.754546290332953,92633.441,92758.441,146.0,125.0,0.0604065005,0.051009,Median_30_300_r,Median_30_300_l,0.0604065005,0.0195934995,0.028991000000000003,0.0195934995
29,Palezieux - Chatel-St-Denis,29,0.049243999999999996,0.051580377044362295,0.8094251234333755,1.049172188345774,0.02248,0.024231829961182994,1.116009675219947,1.8880357201800448,0.055109,0.057266195885397414,0.9016972469108817,1.7871774669234295,0.034632999,0.03542100189648798,0.5264697156896687,0.22362219736914346,0.025014,0.02601294453974122,0.6762274478321297,0.22194001777404315,0.029395999,0.030490676484288354,0.5969066564649098,-0.04374133167450811,92758.441,92893.691,0.0,135.25,0.055109,0.034632999,Median_30_300_r,Median_30_300_l,0.055109,0.024891000000000003,0.045367001000000004,0.024891000000000003
30,Palezieux - Chatel-St-Denis,30,0.06647499949999999,0.06862453118749999,0.631860649413889,0.697009264892043,0.036854,0.038307203844660194,2.068915868093085,9.38085931716726,0.082034,0.08533362337662337,0.7306534829514526,1.4240704603032137,0.0541435005,0.05659177012162162,0.6220738706290122,0.42841929978819815,0.043852,0.042576763131578946,-0.2536324025743065,-0.5426844841424869,0.035316,0.03534359521428571,0.35086423508560277,-0.833987029102941,92893.691,92920.941,96.0,27.25,0.082034,0.0541435005,Median_30_300_r,Median_30_300_l,0.082034,-0.002033999999999994,0.025856499500000005,-0.002033999999999994
31,Palezieux - Chatel-St-Denis,31,0.0631565,0.06745600009302326,0.5919958698169961,-0.05945425335000465,0.0275185005,0.02949615110465116,0.46606040808280663,-0.8647618214992892,0.0713320005,0.07341901168604652,1.0980329526358321,1.6499913292287465,0.047725501,0.048596139465116275,1.1484138764116751,1.8395088387491931,0.031623,0.0404628374625,1.7224359700510552,1.7721467391618946,0.031849,0.039719737525,1.9189411679597586,2.353559763217259,92920.941,92942.441,204.0,21.5,0.0713320005,0.047725501,Median_30_300_r,Median_30_300_l,0.0713320005,0.008667999499999995,0.032274499000000005,0.008667999499999995
32,Palezieux - Chatel-St-Denis,32,0.066936,0.07067408203381643,1.0471247920915918,2.307341604508128,0.035157999999999995,0.037251062748792266,1.0558989029431325,2.124310142409465,0.098324,0.10290298542512077,0.8396566094541089,1.04322950097548,0.070839,0.07382333811594204,0.3899525332358915,-0.6198985713404781,0.027783999,0.03523786468599034,1.8429301437363257,2.7977515169162226,0.029771,0.032036734285024154,0.7299467384551345,-0.1259466973303005,92942.441,92994.191,90.0,51.75,0.098324,0.070839,Median_30_300_r,Median_30_300_l,0.098324,-0.018323999999999993,0.009161000000000002,-0.018323999999999993
33,Palezieux - Chatel-St-Denis,33,0.08224849949999999,0.08366566129677419,0.3746151517521092,0.23967054583477854,0.0283505,0.02946623542580645,0.430605146544625,-0.8333905709842737,0.070848,0.07264931289677419,0.4210198396640721,-0.07082709803884013,0.0342914995,0.03404969350967742,0.4487528460559975,-0.46662400871698084,0.027158501,0.02891107091935484,1.07160032952778,0.8530392703044085,0.033947,0.03931841932580645,1.2085229578461865,0.5953422301332929,92994.191,93071.691,250.0,77.5,0.08224849949999999,0.0342914995,Median_30_300_r,Median_10_100_l,0.08224849949999999,-0.002248499499999987,0.0457085005,-0.002248499499999987
34,Palezieux - Chatel-St-Denis,34,0.052026000999999995,0.054409290780876494,0.6579755635077983,0.3477424942369929,0.025300999999999997,0.027724741047808765,1.1889993899900686,1.3485022365484944,0.045937,0.04697307166135459,0.8788282492244043,1.4199289903404377,0.027749,0.028836067741035854,0.640437525467361,-0.24992721595706913,0.024478,0.02756094421513944,1.6785409177346258,2.896123864943526,0.02282,0.02523460558565737,1.291302413315518,1.2248241575975785,93071.691,93134.441,0.0,62.75,0.052026000999999995,0.027749,Median_30_300_r,Median_10_100_l,0.052026000999999995,0.027973999000000006,0.052251000000000006,0.027973999000000006
35,Palezieux - Chatel-St-Denis,35,0.038095499500000005,0.04136506456451613,1.4234761468050101,2.7197768351442964,0.024267499999999997,0.02655858470967742,1.3184017295843384,1.8730239694648994,0.056015499999999996,0.05716431054032258,0.4881669379269008,-0.08010850020924609,0.039149500500000003,0.04117178633870968,0.8231415506906284,0.10772497808853432,0.030696,0.036718701624999996,1.3708437408615641,0.8373861706047006,0.0226184995,0.030002225733870968,1.7373840187717742,1.6386180532089085,93134.441,93196.441,230.0,62.0,0.056015499999999996,0.039149500500000003,Median_30_300_r,Median_30_300_l,0.056015499999999996,0.023984500000000006,0.0408504995,0.023984500000000006
36,Palezieux - Chatel-St-Denis,36,0.0430385,0.04692963700342465,1.2416936415532631,1.9316957843418612,0.0278025,0.03028770032534247,1.174218642949107,1.1310823695990013,0.0734779995,0.07721430651027397,0.7364672455097612,0.4439994758579737,0.0563395,0.05855339554623288,0.7580658346487544,0.5324348604328666,0.042479,0.043019118152397263,0.9446763665106073,1.3362628831054462,0.0292505,0.035095409234589044,1.1823120009944625,0.397086714191655,93196.441,93342.441,217.0,146.0,0.0734779995,0.0563395,Median_30_300_r,Median_30_300_l,0.0734779995,0.0065220005,0.0236605,0.0065220005
37,Palezieux - Chatel-St-Denis,37,0.030752001,0.034462162089385476,0.9386190168959696,0.2038408443525186,0.020065,0.022427139648044693,1.8258630355032948,4.621887821004081,0.047716,0.049019770972067035,0.6142992997987119,-0.2010417761253107,0.039257,0.040480312782122906,0.1918536526577428,-0.6929008409989286,0.028077001,0.03099169275418994,1.3286291224406948,1.3835582191937394,0.034891,0.035257419011173186,0.4112768359974552,0.1767209154871483,93342.441,93387.191,0.0,44.75,0.047716,0.039257,Median_30_300_r,Median_30_300_l,0.047716,0.032284,0.040743,0.032284
